2025-04-04 12:45:46,401 - INFO - Starting training on 890 samples for 30 epochs
2025-04-04 13:00:40,829 - INFO - Epoch 1: Loss=4.1572, Acc=3.82%, Time=894.43s, LR=0.0001
2025-04-04 13:15:32,864 - INFO - Epoch 2: Loss=4.0910, Acc=4.38%, Time=892.03s, LR=0.0001
2025-04-04 13:30:29,752 - INFO - Epoch 3: Loss=4.0857, Acc=3.15%, Time=896.89s, LR=0.0001
2025-04-04 13:45:29,782 - INFO - Epoch 4: Loss=4.0800, Acc=3.03%, Time=900.03s, LR=0.0001
2025-04-04 14:00:24,747 - INFO - Epoch 5: Loss=4.0711, Acc=2.92%, Time=894.96s, LR=0.0001
2025-04-04 14:15:23,788 - INFO - Epoch 6: Loss=4.0700, Acc=4.04%, Time=899.04s, LR=0.0001
2025-04-04 14:30:19,609 - INFO - Epoch 7: Loss=4.0712, Acc=4.16%, Time=895.82s, LR=0.0001
2025-04-04 14:45:20,432 - INFO - Epoch 8: Loss=4.0658, Acc=3.26%, Time=900.82s, LR=0.0001
2025-04-04 15:00:17,291 - INFO - Epoch 9: Loss=4.0686, Acc=4.04%, Time=896.86s, LR=0.0001
2025-04-04 15:15:09,383 - INFO - Epoch 10: Loss=4.0706, Acc=3.48%, Time=892.09s, LR=0.0001
2025-04-04 15:30:03,844 - INFO - Epoch 11: Loss=4.0706, Acc=3.48%, Time=894.46s, LR=0.0001
2025-04-04 15:45:01,199 - INFO - Epoch 12: Loss=4.0606, Acc=3.03%, Time=897.35s, LR=0.0001
2025-04-04 15:59:59,332 - INFO - Epoch 13: Loss=4.0516, Acc=4.16%, Time=898.13s, LR=0.0001
2025-04-04 16:14:56,234 - INFO - Epoch 14: Loss=4.0695, Acc=3.15%, Time=896.90s, LR=0.0001
2025-04-04 16:29:57,471 - INFO - Epoch 15: Loss=4.0723, Acc=3.37%, Time=901.24s, LR=0.0001
2025-04-04 16:44:57,084 - INFO - Epoch 16: Loss=4.0688, Acc=4.38%, Time=899.61s, LR=0.0001
2025-04-04 16:59:53,507 - INFO - Epoch 17: Loss=4.0621, Acc=3.71%, Time=896.42s, LR=0.0001
2025-04-04 17:14:54,367 - INFO - Epoch 18: Loss=4.0658, Acc=3.82%, Time=900.86s, LR=0.0001
2025-04-04 17:29:49,113 - INFO - Epoch 19: Loss=4.0643, Acc=4.38%, Time=894.75s, LR=0.0001
2025-04-04 17:44:46,410 - INFO - Epoch 20: Loss=4.0623, Acc=3.37%, Time=897.30s, LR=0.0001
2025-04-04 17:59:40,943 - INFO - Epoch 21: Loss=4.0614, Acc=3.82%, Time=894.53s, LR=0.0001
2025-04-04 18:14:37,609 - INFO - Epoch 22: Loss=4.0482, Acc=3.15%, Time=896.66s, LR=0.0001
2025-04-04 18:29:35,513 - INFO - Epoch 23: Loss=4.0288, Acc=4.94%, Time=897.90s, LR=0.0001
2025-04-04 18:44:34,110 - INFO - Epoch 24: Loss=4.0741, Acc=3.71%, Time=898.60s, LR=0.0001
2025-04-04 18:59:33,111 - INFO - Epoch 25: Loss=4.0673, Acc=4.16%, Time=899.00s, LR=0.0001
2025-04-04 19:14:24,914 - INFO - Epoch 26: Loss=4.0650, Acc=4.16%, Time=891.80s, LR=0.0001
2025-04-04 19:29:15,308 - INFO - Epoch 27: Loss=4.0635, Acc=4.27%, Time=890.39s, LR=0.0001
2025-04-04 19:44:06,879 - INFO - Epoch 28: Loss=4.0641, Acc=4.16%, Time=891.57s, LR=0.0001
2025-04-04 19:58:58,603 - INFO - Epoch 29: Loss=4.0615, Acc=3.82%, Time=891.72s, LR=0.0001
2025-04-04 20:13:55,145 - INFO - Epoch 30: Loss=4.0620, Acc=3.71%, Time=896.54s, LR=0.0001
2025-04-04 20:13:55,874 - INFO - Model saved to: saved_models/stage1_stage1_frozen_text_vitb16_11k_dorsal_r_e30_lr00001_bs32_losscross_entropy.pth
2025-04-04 20:13:55,874 - INFO - Training metrics logged to: train_logs/stage1_stage1_frozen_text_vitb16_11k_dorsal_r_e30_lr00001_bs32_losscross_entropy.log
